"Population","mR","sD","min","max","n"
"Abernathy",10665856.5,3808026.70729883,6265768,17177871,8
"Adams",15611700.25,10216735.744152,2550951,33666975,8
"Andreafsky",9875739.625,7843815.41800253,0,19412187,8
"Big Qualicum",19095491.125,14268421.1666769,3847743,42307970,8
"Big Salmon",15749788.5,11051511.6288017,5705118,39093990,8
"Birkenhead",22093898.875,7745378.42277307,12221610,38258641,8
"Blue",15159410.25,6799961.04919575,7040283,25502048,8
"Cariboo",17609461.125,12033260.2909357,1820078,35570273,8
"Cheakamus",8023170,8568948.47093619,929,26243944,8
"Cowichan",12454129.75,10920650.0044322,4609,26529856,8
"Dean",16715451.125,11886955.1273878,1174,35809852,8
"Dudidontu",14629390,12952221.2390466,1936234,39960954,8
"Duteau",7923698.375,6929629.79238786,494,16464833,8
"Ecstall",15025514.5,7481821.4608038,2241393,24722513,8
"Endako",9030774.75,7161937.82565006,0,23965346,8
"Harrison",13149482.25,9197561.59390759,497,29692387,8
"Hoole",14377785.25,12747876.1327294,0,34407428,8
"Imnaha",18667696.375,9711777.08978871,9447060,34434710,8
"Kaouk",12488631.5,9083207.86753704,187582,24657103,8
"Kilbella",17653052.25,8453282.22439314,10117701,30618063,8
"Kildala",18144927.875,10494493.1172073,2777821,32197126,8
"Kincolith",13818670.5,11284825.6799829,0,27985598,8
"Kitlope",9974427.5,10785134.9058184,481,30832764,8
"Kitsumkalum",18923545.5,7399607.18009809,10374796,31881457,8
"Kitwanga",19550336.75,8446627.52785086,6244274,30824867,8
"Klinaklini",10863765.625,9969269.92460517,0,26945226,8
"Klondike",12181834,11253189.7234917,0,34456249,8
"Kwinageese",26654688.125,25438299.7247449,1747,80231695,8
"Mayo",16103861.125,10606608.1919791,1199,32280836,8
"Morley",23373194.3333333,5993474.60587232,16481963,27371020,3
