"Site","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"ABERNATHY_RIVER",10.1125001907349,16.2000007629395,4.41666650772095,1645,259,29,61.1552467346191,757,129,141,699,10.6416664123535,45.0918083190918,482.041687011719,24,0.400000005960464,23.6000003814697,4.78333330154419,15.9333333969116
"ADAMS_RIVER",7.67916679382324,18.0166664123535,-2.95000004768372,552,67,27,28.2120094299316,188,89,144,154,11.3583335876465,32.9227027893066,848.304382324219,26.7000007629395,-7.80000019073486,34.5,-2.04999995231628,3.35000014305115
"ANDREAFSKY_RIVER",-1.27916669845581,11.8166666030884,-13.2666664123535,486,103,16,65.1007919311523,239,53,203,69,7.82500028610229,22.5504322052002,1039.61193847656,17,-17.7000007629395,34.7000007629395,10.7666664123535,-9.05000019073486
"BIG_SALMON_RIVER",-1.99166667461395,13.4499998092651,-19.4833335876465,285,52,7,55.2684783935547,128,29,124,47,13.1833333969116,26.2616214752197,1338.23461914062,22.3999996185303,-27.7999992370605,50.1999969482422,11.6666660308838,-8.76666641235352
"BIRKENHEAD_RIVER",8.06666660308838,16.8333339691162,-0.716666698455811,1141,185,38,57.9123268127441,517,120,120,435,9.01666641235352,31.3078708648682,714.560668945312,24.2000007629395,-4.59999990463257,28.8000011444092,-0.0499999709427357,16.8333339691162
"BLUE_RIVER",4.59166669845581,15.4833335876465,-7.36666631698608,976,106,49,21.6052436828613,311,180,255,270,11.1500005722046,29.0364589691162,919.280456542969,24.2000007629395,-14.1999998092651,38.4000015258789,-5.83333301544189,-0.216666653752327
"CARIBOO_RIVER-UPPER",3.57916665077209,13.3500003814697,-6.36666679382324,878,91,50,19.4442539215088,252,157,252,218,11.375,34.1591567993164,805.677185058594,21.2000007629395,-12.1000003814697,33.3000030517578,13.3500003814697,-0.683333396911621
"CHEAKAMUS_RIVER_FALL",9.15416622161865,16.4833335876465,2.08333325386047,2580,448,65,61.0575218200684,1175,224,227,963,6.54166650772095,28.691520690918,594.139770507812,22.3999996185303,-0.400000005960464,22.7999992370605,2.63333344459534,16.4166660308838
"COWICHAN_RIVER",10.1791667938232,16.9166660308838,3.78333330154419,1094,187,21,68.8261489868164,547,81,84,479,9.32499980926514,39.3459892272949,540.737976074219,23.7000007629395,0,23.7000007629395,4.26666641235352,16.8166656494141
"DEAN_RIVER-UPPER",4.66249990463257,13.7166662216187,-4.73333358764648,797,122,35,47.0149002075195,327,117,123,267,10.5416669845581,34.1154251098633,747.632995605469,21,-9.89999961853027,30.8999996185303,-0.216666787862778,8.41666698455811
"DUDIDONTU_RIVER",1.10000002384186,12.9666662216187,-11.6499996185303,578,71,20,32.7707710266113,196,84,149,153,10.4166669845581,27.85205078125,1002.91394042969,20.2999992370605,-17.1000003814697,37.4000015258789,7.95000028610229,1.70000016689301
"DUTEAU_CREEK",7.30833339691162,17.8333320617676,-3.66666674613953,523,60,24,25.6000957489014,158,84,139,123,10.783332824707,31.438289642334,867.807678222656,26.3999996185303,-7.90000009536743,34.2999992370605,15.7999992370605,2.96666669845581
