"","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14","PCNM15","PCNM16","PCNM17","PCNM18","PCNM19","PCNM20","PCNM21","PCNM22","PCNM23","PCNM24","PCNM25","PCNM26","PCNM27","PCNM28","PCNM29","PCNM30","PCNM31","PCNM32","PCNM33","PCNM34","PCNM35","PCNM36"
"Abernathy",-0.065269854165682,-0.024103636952926,-0.0920590286009643,0.217236877058418,0.00188904112888196,0.00103053068083425,-0.0489253954521539,0.067993225265262,0.00134447565946959,-0.104740067001568,-0.00497730499795731,0.00274882470062667,0.00416037729663976,0.000675690427576053,0.0186524071018631,0.000397053030667229,0.0490482881538919,0.0522011341007134,-4.07907043561638e-05,-0.0716986351250532,-0.0847076322790489,-0.0187951083075887,-0.00852482914973707,0.0920125562166243,0.00049319737878317,-0.00314983848493622,0.0566004279373135,0.0962733209445428,-0.0658775334748438,-0.0357103866159041,0.0308913412303997,0.0525302281977228,0.0186295322246934,-0.0049930728280887,0.225498455640805,-0.0742469473477775
"Adams",-0.0652922728020536,-0.0259009020853871,-0.126109946530943,-0.107887776891868,0.00120273674613127,-0.00876141995268459,-0.053084141363142,-0.311106584351975,0.00101613942624597,-0.0576623069386821,0.0265898755539711,0.021715713104029,-0.0598470514728991,-0.00336495341964281,-0.002223952121845,0.000162727981415344,0.0266791653136004,-0.00878822880972768,-7.58918286731242e-07,0.0152882669299858,-0.0820478233436706,0.00255938331605051,0.0047717066830721,0.0114835307982395,3.67864449922542e-05,-0.00615675775527913,0.138815665908369,-0.134525071363812,-0.064704216051653,-0.0187912970977646,-0.0137224553717022,0.0414616886329309,-0.137370257668039,-0.0539494375509008,-0.0166739070775672,-0.0126757453611803
"Andreafsky",0.265854635122537,0.66945705893161,-0.099293158780514,0.00713713738313892,0.000921251604921346,0.000567178597136999,0.00541470715983881,-8.51094608765868e-05,-2.99610733517738e-06,-0.000459689682365786,0.000633669844730914,0.000467501015904252,0.000424236064573379,3.17343567315236e-05,-0.000704868960337492,-3.87589751018816e-06,-1.52065410617156e-05,6.71384724924232e-06,-6.56846717729838e-08,-0.000149788867823482,-7.3989496074716e-05,-0.000210321191565656,-5.09016686986333e-05,3.30466173960257e-05,2.99767383054047e-07,0.000258135631986613,5.65536173459322e-05,-4.31162791456399e-05,9.75892867709563e-06,-5.71223693802535e-06,-4.46852860358131e-05,3.91967523245308e-06,-1.43716377819028e-05,-2.26409863229287e-05,-1.6800568176897e-05,-8.50653485291943e-05
"BigQualicum",-0.0658987621041837,-0.0165845780900363,-0.0317397699019841,0.00817956843027406,0.00124192077344271,-0.0117501956730341,-0.0293081991224219,0.0115169851199095,-0.00101428761331245,0.077560590792806,-0.0989006385281896,-0.0849385126841017,0.236296841408528,0.0125856377713611,0.0247131075789235,0.000439354845980989,0.112716257430227,0.0114766582983647,-0.000198426811154715,-0.310261440512011,-0.159952797955032,0.106310748824363,0.0123175924967766,-0.146400055971367,-0.000448247792775406,-0.0559344978593651,-0.0708441325962502,0.0491912506861883,-0.463157841380287,-0.195998543338234,0.0668733162049184,-0.0429715403704858,-0.029461315619269,0.0841749105494862,-0.148381992432991,0.0172892462053849
"BigSalmon",0.271452851155637,-0.0732635482480562,0.0123346664331758,-0.00159934205123721,0.193955454486638,0.000451914184274775,0.00256544475569131,-0.000155480754838885,0.181839924539833,0.00251755841322843,0.00011595134975149,0.000951245990686475,0.00403066316929805,-0.070242921805607,-8.56096177438773e-05,0.00778393516206924,-0.000361895351073047,1.01865512747196e-05,-0.00362202324695336,0.000108673863852069,0.000227037988556753,-0.000125296959043187,-0.000167627111275839,-0.000147328774390518,0.0242583033464328,-3.41331752563088e-05,-0.000167499413631061,-5.76527228672644e-05,4.5236786628388e-05,5.61437112745833e-05,-1.67916340388478e-05,2.98071894176445e-05,-4.87336187760673e-06,-0.00011442742088463,-0.000112008897989841,-0.000482225525957116
"Birkenhead",-0.0655480948261773,-0.0225115604161906,-0.089520052815411,-0.03612246577078,0.00134463180114558,0.00111814151829043,-0.0388819640442123,-0.0908824889765475,-0.000971215785838849,0.0625797116857944,-0.0986215633498081,-0.0798085083221478,0.210201923543357,0.0118264426411153,0.0323495803041483,-0.000413745085023146,-0.255752964613705,-0.421327312745546,6.43648966312627e-05,-0.0296445751897767,0.707482003761235,-0.135380626560752,-0.194637889051849,0.134466271060809,9.90307814454286e-05,-0.0256776912482355,0.0863007749021397,-0.0850180977529192,-0.115911910723517,-0.0324781156592535,-0.0359579105724011,-0.0845586066503764,-0.0613810225676694,-0.0522678481386918,0.00539536931334902,-0.00201154677498023
"Blue",-0.0650275035635961,-0.0281676286344095,-0.148659774986567,-0.150297039302853,0.000842216977088921,-0.0113223562074771,-0.0383919656422236,-0.262230280710751,0.00109093763861587,-0.0617308795387281,0.0544749260958652,0.0442917624654756,-0.122809447510993,-0.00701276665778566,-0.0122086763588201,0.000465897571085902,0.542003558376204,0.107039060222905,6.43895031570756e-06,-0.0976521725331582,0.254259225757067,-0.0188408752860287,-0.343174661791387,0.0105584307615985,-9.70802082476305e-05,0.0411708976588245,-0.266982831408911,0.209978951773323,0.0500351289136343,0.010632303708472,-0.00185819851550602,0.000736317529450396,-0.0356096818784683,0.0441603617070404,0.0262457639853638,0.00761940643875307
"Cariboo",-0.0648387673187427,-0.030018743430104,-0.169499357469946,-0.194014414280616,0.000519056002748169,-0.0207649328766426,-0.0139291183603005,-0.0099416758401194,0.00102684578321975,-0.0721340779405693,0.0403797962874281,0.0351305916374341,-0.0940688408475452,-0.00505166841610225,-0.00884204638779555,6.21874639711081e-05,0.027623696296518,0.282789067252653,-3.84746326592619e-05,-0.0402537020177894,-0.116211118290861,0.0157639465631948,-0.534310613524555,-0.0544852475095462,-0.000782389868409626,-0.0534339414793031,0.24381473897981,-0.176507726430475,-0.0631727745059467,-0.0162654477889927,-0.00549172926263678,-0.0119853989079121,-0.0480879272175208,0.0107045350018901,0.0203533726423799,0.0119296917250272
"Cheakamus",-0.0658165579522671,-0.0187093207511071,-0.0526976847903338,0.00846469259552342,0.00142162529225788,-0.00471374470702507,-0.0340108169919527,0.00301839197164054,-0.000904347243201736,0.063311549554762,-0.0894748651106716,-0.0733108593706353,0.202463100275675,0.0109783904691944,0.0258828738652244,0.00021677941023005,0.0773338682352912,-0.031547866205786,-0.000109606206124098,-0.192719399698558,-0.0405036885360001,0.104376613325507,0.0332425984978863,-0.326218926915445,-0.00105775815782939,-0.0763318236586925,0.0912568122012695,-0.0613315699043272,0.605481167506186,0.280598236786886,-0.347978842470174,-0.174857654891953,-0.0711833664566335,-0.139998275631924,-0.030684994327365,-0.0368144158841503
"Cowichan",-0.0658608485953397,-0.0189955298830218,-0.0577427107323549,0.0297227491084859,0.00187149786058875,-0.00194493242741905,-0.048500883564895,0.040720804459146,-1.22835335464027e-05,-0.00717258164570344,-0.0476443573805332,-0.0302463920346067,0.0843292401372625,0.00473213006470567,0.00897759452104015,2.81967060717073e-06,0.0904518361140785,0.0442720609165329,4.20344628213822e-05,0.0690407740176708,-0.0367241237088958,0.0369222403625304,0.0221922813193139,-0.0928851954382439,-0.000413177619118559,0.0535066757259905,0.105074762512942,0.0454821121607132,-0.0635483533483318,-0.103527276468347,0.390321176547677,-0.298647055643874,-0.165474482247236,-0.0464942785478015,-0.396490831600817,-0.176033898253475
