Stock_Code	Reporting_Unit	Conservation_Unit	Population	Collection_Years	Sample_Number	Province_State	Latitude	Longitude
1000158	Lower Columbia River	LCR	ABERNATHY_RIVER	1995(95)	95	WA	46.1335	-123.0852
2191	South Thompson_SU_0.3	13	ADAMS_RIVER	2010(97)	97	BC	50.89386286	-119.5505675
1000365	Alaska_Lower Yukon River	AKYR-L	ANDREAFSKY_RIVER	2003(94)	94	AK	62.068106	-163.111639
1000128	Middle Yukon River and tributaries	73	BIG_SALMON_RIVER	2004(12), 2006(26), 2007(24), 2008(9), 2014(21), 2016(53), 2017(51)	196	YU	61.88110392	-134.9194263
152	Lower Fraser River_SP_1.3	4	BIRKENHEAD_RIVER	2003(10), 2005(61), 2006(15)	86	BC	50.30644079	-122.6070114
1622	North Thompson_SP_1.3	18	BLUE_RIVER	2000(7), 2002(32), 2003(1), 2004(7), 2006(5), 2007(4), 2009(1), 2013(1), 2014(1), 2016(2), 2017(2)	63	BC	52.10461061	-119.2796415
352	Middle Fraser River_SP_1.3	10	CARIBOO_RIVER-UPPER	2001(94), 2017(1), 2021(53)	148	BC	52.82540899	-121.2758869
1000470	East Vancouver Island-Qualicum and Puntledge_FA_0.x	27	CHEAKAMUS_RIVER_FALL	2006(8), 2007(25), 2008(20), 2011(59)	112	BC	49.77814025	-123.1719228
118	East Vancouver Island-Cowichan and Koksilah_FA_0.x	22	COWICHAN_RIVER	2013(99), 2014(508), 2015(396), 2016(274), 2017(309), 2018(285), 2019(308), 2020(121), 2021(351)	2651	BC	48.75355112	-123.6370155
1000249	Dean River	40	DEAN_RIVER-UPPER	2006(38)	38	BC	52.79484589	-126.2352857
2704	Taku_early timing	63	DUDIDONTU_RIVER	2005(8), 2008(96)	104	BC	58.78944894	-131.983822
1303	South Thompson-Bessette Creek_SU_1.2	16	DUTEAU_CREEK	2001(26), 2003(1), 2006(12), 2010(2), 2013(1)	42	BC	50.2516302	-118.9594602
2000133	Ecstall	46	ECSTALL_RIVER	2001(40), 2002(55), 2013(4)	99	BC	54.16803318	-129.9525271
1104	Middle Fraser River_SP_1.3	10	ENDAKO_RIVER	2006(59), 2007(6), 2008(14), 2009(19), 2019(5), 2020(2)	105	BC	54.04983464	-124.9040503
229	Lower Fraser River_FA_0.3	3	HARRISON_RIVER	2013(111), 2014(212), 2015(240), 2016(213), 2017(471), 2018(212), 2019(241), 2020(213)	1913	BC	49.21890306	-121.9450663
1000360	Pelly	72	HOOLE_RIVER	2003(2), 2004(5), 2005(12), 2015(2), 2016(49), 2017(37)	107	BC	61.74873179	-131.7110368
1000199	Snake River_SP_SU	SR-SpSu	IMNAHA	2002(44), 2003(45)	89	ID	45.4905	-116.4556
1000463	West Vancouver Island-Nootka and Kyuquot_FA_0.x	32	KAOUK_RIVER	2010(125), 2015(25)	150	BC	50.06362139	-127.098644
2515	Rivers Inlet	37	KILBELLA_RIVER	2000(29), 2005(7), 2016(3), 2017(24), 2018(34), 2019(45), 2020(47), 2021(38)	227	BC	51.7049254	-127.3404143
166	North and Central Coast-early timing	42	KILDALA_RIVER	2000(92)	92	BC	53.82716545	-128.4871003
120	Portland Sound-Observatory Inlet-Lower Nass	57	KINCOLITH_RIVER	1996(132)	132	BC	54.99636901	-129.9626807
1000394	North and Central Coast-late timing	41	KITLOPE_RIVER	2004(14), 2006(78)	92	BC	53.21087108	-127.8439671
53	Kalum_late timing	50	KITSUMKALUM_RIVER-LOWER	2013(135), 2014(149), 2015(137), 2016(136), 2017(73), 2018(91), 2019(86), 2020(199)	1006	BC	54.52095877	-128.6608919
1917	Middle Skeena-mainstem tributaries	54	KITWANGA_RIVER	2003(90)	90	BC	55.10261543	-128.0854741
2000101	Klinaklini_SU_1.3	35	KLINAKLINI_RIVER	2002(94)	94	BC	51.09258332	-125.6266259
2194	Northern Yukon River and tributaries	76	KLONDIKE_RIVER	1999(7), 2002(19), 2004(23), 2006(18), 2007(19), 2009(11), 2010(20), 2011(36), 2012(6), 2013(4)	163	YU	64.05215285	-139.4388902
1000025	Upper Nass	58	KWINAGEESE_RIVER	1996(55), 1997(38), 2012(19), 2013(35), 2014(7), 2015(13), 2017(5)	172	BC	56.19313196	-128.7947508
2192	Stewart	74	MAYO_RIVER	2003(37), 2009(10), 2011(10)	57	BC	63.58962386	-135.9123176
2089	Yukon River-Teslin headwaters	68	MORLEY_RIVER	2002(8), 2003(11), 2005(6), 2006(7), 2008(1), 2009(9), 2010(5), 2011(1), 2016(37), 2017(28)	113	BC	60.09439428	-132.4896363
1000464	West Vancouver Island-Nootka and Kyuquot_FA_0.x	32	MOYEHA_RIVER	2004(1), 2010(38), 2011(11)	50	BC	49.41773585	-125.9126587
2078	Middle Fraser-Fraser Canyon_SP_1.3	8	NAHATLATCH_RIVER	1991(9), 2002(1), 2003(9), 2013(3), 2019(4)	26	BC	49.9779149	-121.5120321
437	East Vancouver Island-North_FA_0.x	29	NIMPKISH_RIVER	2011(87), 2016(77)	164	BC	50.56689782	-126.9794859
2092	Nordenskiold	71	NORDENSKIOLD_RIVER	2006(23), 2012(6), 2013(9), 2016(58)	96	BC	62.10329915	-136.3031012
2733	Bella Coola-Bentinck	39	NUSATSUM_RIVER	1996(17), 2006(67), 2016(10), 2018(40), 2019(29), 2020(19)	182	BC	52.41019168	-126.4894389
6335	Okanagan_1.x	1	OKANAGAN_RIVER	2000(1), 2002(1), 2003(4), 2004(3), 2005(27), 2006(26), 2007(14), 2008(8)	84	BC	49.07636988	-119.5181801
2718	Southern Mainland-Southern Fjords_FA_0.x	28	PHILLIPS_RIVER	2005(18), 2009(15), 2013(162), 2014(32), 2015(55), 2016(33), 2017(137), 2018(31), 2019(41)	524	BC	50.55498132	-125.3650199
249	Lower Fraser River-Upper Pitt_SU_1.3	5	PITT_RIVER-UPPER	2005(5), 2006(8), 2007(10), 2010(1), 2011(16), 2012(31)	71	BC	49.56628595	-122.6343385
74	Middle Fraser River-Portage_FA_1.3	9	PORTAGE_CREEK	2001(10), 2002(68), 2004(13), 2005(7), 2006(11), 2008(15), 2011(8), 2013(4), 2015(3), 2017(7), 2018(3), 2019(44), 2020(17)	210	BC	50.70803014	-122.2700586
100	East Vancouver Island-Qualicum and Puntledge_FA_0.x	27	QUALICUM_RIVER	2013(919), 2014(1372), 2015(1604), 2016(979), 2017(1874), 2018(1928), 2019(1735), 2020(1539), 2021(1367)	13317	BC	49.39884025	-124.6091444
45	North Thompson_SU_1.3	19	RAFT_RIVER	2008(13), 2009(26), 2010(10), 2013(35)	84	BC	51.63177174	-119.9911334
1000584	Salmon Fork	77	SALMON_FORK_RIVER	2015(42)	42	YU	66.54467486	-140.9996649
