Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Trinity,11.60000038,14.5,47.79999924,575.5999756,30.5,0.200000003,30.29999924,5.699999809,19.79999924,19.60000038,6.099999905,1495,270,9,78,749,57,70,723,2041-2060,26
Trinity,12.80000019,14.5,46.20000076,609,32.20000076,0.899999976,31.29999924,6.900000095,21.20000076,21.39999962,7.099999905,1462,263,9,77.59999847,736,56,74,691,2041-2060,85
Trinity,8.354166985,14.3083334,50.38145447,527.5994263,26.10000038,-2.299999952,28.39999962,3.599999905,14.8166666,15.55000019,3.049999952,1403,245,9,76.11618042,692,57,68,654,1970-2000,NA
Siuslaw,14.30000019,9.600000381,48.29999924,394.3999939,25.79999924,6,19.79999924,9.5,19.10000038,19.5,9.800000191,2016,347,19,70.90000153,973,106,106,907,2041-2060,26
Siuslaw,15.30000019,9.600000381,46.79999924,418,27.39999962,6.900000095,20.5,10.60000038,20.29999924,20.89999962,10.69999981,1953,333,18,70.30000305,934,97,106,862,2041-2060,85
Siuslaw,11.3166666,9.366666794,49.55908203,366.6887207,22.10000038,3.200000048,18.89999962,7.533333302,15.46666718,16.04999924,7.049999714,1967,323,21,67.90789795,921,113,116,866,1970-2000,NA
Imnaha,7.5,15.19999981,41.59999847,740.2000122,30.29999924,-6.400000095,36.70000076,-0.899999976,19.10000038,17.29999924,-0.600000024,692,77,21,30.39999962,220,95,95,205,2041-2060,26
Imnaha,9,15.30000019,39.79999924,793.7999878,32.79999924,-5.599999905,38.40000153,0.699999988,21.5,19.70000076,0.600000024,689,79,19,30.10000038,220,97,97,204,2041-2060,85
Imnaha,3.575000048,15.05000019,44.39527893,664.7025757,23.79999924,-10.10000038,33.90000153,-3.216666698,12.01666641,12.01666641,-3.849999905,652,72,24,27.43324852,206,97,97,194,1970-2000,NA
Abernathy,13.5,11.19999981,44.5,511.7000122,28.79999924,3.700000048,25.10000038,7.199999809,20.5,20.29999924,7.699999809,1692,278,24,66.09999847,809,112,122,727,2041-2060,26
Abernathy,14.60000038,11.30000019,43,542.2999878,30.89999962,4.699999809,26.20000076,8.199999809,22,21.89999962,8.600000381,1635,269,22,66,781,101,120,690,2041-2060,85
Abernathy,10.11250019,10.64166641,45.09180832,482.041687,24,0.400000006,23.60000038,4.783333302,15.9333334,16.20000076,4.416666508,1645,259,29,61.15524673,757,129,141,699,1970-2000,NA
San Juan,12.80000019,8.100000381,37.79999924,474.6000061,25,3.5,21.5,7.5,18.70000076,18.79999924,7.099999905,3419,642,38,70.59999847,1637,183,204,1343,2041-2060,26
