"","Abernathy","Adams","Andreafsky","Big Qualicum Brood","Big Salmon","Birkenhead","Blue","Cariboo","Cheakamus","Cowichan","Dean","Dudidontu","Duteau","Ecstall","Endako","Harrison Brood","Harrison","Hoole","Imnaha","Kaouk","Kilbella","Kildala","Kincolith","Kitlope","Kitsumkalum","Kitwanga","Klinaklini","Klondike","Kwinageese","Mayo","Morley","Moyeha","Nahatlatch","Nimpkish","Nordenskiold","Nusatsum","Okanagan","Phillips","Upper Pitt","Portage","Raft","Salmon Fork","San Juan","Sarita","Serpentine Brood","Seymour","Siuslaw","Slim","Spius Brood","Sustut","Swift","Tahltan","Takhanne","Takhini","Taseko","Tincup","Tozitna","Trinity","Verrett","Yakoun","Yeth"
"Abernathy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adams",0.0133863744540258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andreafsky",0.0313825156967848,-0.0823988906917778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Qualicum Brood",-0.00330303292170517,0.00868000562629212,0.0219940316721084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Salmon",0.00347950005072515,0.0157213492579528,0.0320380639587273,0.00157311319261563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birkenhead",-0.0063213714036057,0.0232784564516417,0.04041106208225,-0.00851920607582428,-0.00807236969534707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue",0.00590695048691425,0.0160364740209079,0.0393075050817162,0.00622542700394814,0.0138652239362816,0.00563728964383359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cariboo",-0.00113901217535789,0.00799550480498,0.0218883169644905,-0.0048594264954533,-0.0107200783594835,-0.0101389328180087,0.00670739715765909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheakamus",0.0072431282605091,-0.0166984313283505,-0.00050859081694548,-0.00848548510183408,-0.00901302879682388,-0.0109912955654573,0.00701769325416209,-0.015332987183867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cowichan",0.0567190203981751,-0.0914190463197323,-0.127408869671639,0.0487646418732777,0.0545720151933065,0.0726093551055553,0.0663068622649773,0.0441126587637219,0.0117662913409809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
