fish_ID,extraction_plate_ID,site_full,year,sex
Abe-1995-95EK1,LandGen_Chin_2023_001,Abernathy,1995,
Abe-1995-95EK10,LandGen_Chin_2023_002,Abernathy,1995,
Abe-1995-95EK12,LandGen_Chin_2023_002,Abernathy,1995,
Abe-1995-95EK13,LandGen_Chin_2023_002,Abernathy,1995,
Abe-1995-95EK15,LandGen_Chin_2023_002,Abernathy,1995,
Abe-1995-95EK17,LandGen_Chin_2023_002,Abernathy,1995,
Abe-1995-95EK2,LandGen_Chin_2023_001,Abernathy,1995,
Abe-1995-95EK3,LandGen_Chin_2023_001,Abernathy,1995,
Abe-1995-95EK7,LandGen_Chin_2023_001,Abernathy,1995,
Abe-1995-95EK9,LandGen_Chin_2023_002,Abernathy,1995,
Ada-2001-EC01,LandGen_Chin_2023_001,Adams,2001,
Ada-2001-EC02,LandGen_Chin_2023_001,Adams,2001,
Ada-2001-EC03,LandGen_Chin_2023_001,Adams,2001,
Ada-2001-EC04,LandGen_Chin_2023_001,Adams,2001,
Ada-2001-EC05,LandGen_Chin_2023_002,Adams,2001,
Ada-2001-EC06,LandGen_Chin_2023_002,Adams,2001,
Ada-2001-EC07,LandGen_Chin_2023_002,Adams,2001,
Ada-2001-EC08,LandGen_Chin_2023_002,Adams,2001,
Ada-2001-EC09,LandGen_Chin_2023_002,Adams,2001,
Ada-2001-EC10,LandGen_Chin_2023_002,Adams,2001,
Ada-2002-EC01,LandGen_Chin_2023_006,Adams,2002,
Ada-2002-EC02,LandGen_Chin_2023_006,Adams,2002,
Ada-2002-EC03,LandGen_Chin_2023_006,Adams,2002,
Ada-2002-EC04,LandGen_Chin_2023_006,Adams,2002,
Ada-2002-EC05,LandGen_Chin_2023_006,Adams,2002,
Ada-2002-EC06,LandGen_Chin_2023_006,Adams,2002,
Ada-2002-EC07,LandGen_Chin_2023_006,Adams,2002,
Ada-2002-EC08,LandGen_Chin_2023_006,Adams,2002,
And-2003-Kand0309.001,LandGen_Chin_2023_001,Andreafsky,2003,
And-2003-Kand0309.004,LandGen_Chin_2023_001,Andreafsky,2003,
And-2003-Kand0309.007,LandGen_Chin_2023_001,Andreafsky,2003,
And-2003-Kand0309.008,LandGen_Chin_2023_001,Andreafsky,2003,
And-2003-Kand0309.010,LandGen_Chin_2023_002,Andreafsky,2003,
And-2003-Kand0309.012,LandGen_Chin_2023_002,Andreafsky,2003,
And-2003-Kand0309.013,LandGen_Chin_2023_002,Andreafsky,2003,
And-2003-Kand0309.016,LandGen_Chin_2023_002,Andreafsky,2003,
And-2003-Kand0309.018,LandGen_Chin_2023_002,Andreafsky,2003,
And-2003-Kand0309.019,LandGen_Chin_2023_002,Andreafsky,2003,
BedB-2019-49401,LandGen_Chin_2023_012,Bedwell Brood,2019,Female
BedB-2019-49402,LandGen_Chin_2023_012,Bedwell Brood,2019,Male
BedB-2019-49403,LandGen_Chin_2023_012,Bedwell Brood,2019,Male
BedB-2019-49406,LandGen_Chin_2023_012,Bedwell Brood,2019,Male
BedB-2019-49407,LandGen_Chin_2023_012,Bedwell Brood,2019,Male
BedB-2019-49415,LandGen_Chin_2023_012,Bedwell Brood,2019,Male
BedB-2019-49416,LandGen_Chin_2023_012,Bedwell Brood,2019,Male
BedB-2019-49417,LandGen_Chin_2023_012,Bedwell Brood,2019,Male
BedB-2019-49424,LandGen_Chin_2023_012,Bedwell Brood,2019,Female
BedB-2019-49441,LandGen_Chin_2023_012,Bedwell Brood,2019,Male
BigB-2021-219241,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219242,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219243,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219244,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219245,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219246,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219247,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219248,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219249,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigB-2021-219250,LandGen_Chin_2023_012,Big Qualicum Brood,2021,Male
BigQ-1997-BQ66,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ67,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ68,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ69,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ70,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ71,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ72,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ73,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ74,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-BQ75,LandGen_Chin_2023_006,Big Qualicum,1997,
BigQ-1997-EC01,LandGen_Chin_2023_008,Big Qualicum,1997,
BigQ-1997-EC02,LandGen_Chin_2023_008,Big Qualicum,1997,
BigQ-1997-EC03,LandGen_Chin_2023_008,Big Qualicum,1997,
BigQ-1997-EC04,LandGen_Chin_2023_008,Big Qualicum,1997,
BigQ-1997-EC05,LandGen_Chin_2023_008,Big Qualicum,1997,
BigQ-1997-EC06,LandGen_Chin_2023_008,Big Qualicum,1997,
BigQ-1997-EC07,LandGen_Chin_2023_008,Big Qualicum,1997,
BigQ-1997-EC08,LandGen_Chin_2023_008,Big Qualicum,1997,
BigS-2016-0047,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0048,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0049,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0050,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0051,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0052,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0053,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0054,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0055,LandGen_Chin_2023_005,Big Salmon,2016,
BigS-2016-0056,LandGen_Chin_2023_005,Big Salmon,2016,
Bir-2005-EC01,LandGen_Chin_2023_001,Birkenhead,2005,
Bir-2005-EC02,LandGen_Chin_2023_001,Birkenhead,2005,
Bir-2005-EC03,LandGen_Chin_2023_001,Birkenhead,2005,
Bir-2005-EC04,LandGen_Chin_2023_001,Birkenhead,2005,
Bir-2005-EC05,LandGen_Chin_2023_002,Birkenhead,2005,
Bir-2005-EC06,LandGen_Chin_2023_002,Birkenhead,2005,
Bir-2005-EC07,LandGen_Chin_2023_002,Birkenhead,2005,
Bir-2005-EC08,LandGen_Chin_2023_002,Birkenhead,2005,
Bir-2005-EC09,LandGen_Chin_2023_002,Birkenhead,2005,
Bir-2005-EC10,LandGen_Chin_2023_002,Birkenhead,2005,
Bir-2005-EC11,LandGen_Chin_2023_002,Birkenhead,2005,
Bir-2005-EC12,LandGen_Chin_2023_002,Birkenhead,2005,
Bli-2008-EC01,LandGen_Chin_2023_011,Blind,2008,
Bli-2008-EC02,LandGen_Chin_2023_011,Blind,2008,
Bli-2008-EC03,LandGen_Chin_2023_011,Blind,2008,
