population	offset26	offset85
Abernathy	0.0544686210265125	0.0731215702650053
Adams	0.083111235313782	0.110383138726547
Andreafsky	0.0530789744118554	0.0710246918213063
BigQualicum	0.0619842335755092	0.0867380064818329
BigSalmon	0.0516408861515805	0.0728060379423805
Birkenhead	0.0724437862942749	0.100008660965986
Blue	0.0808937118280092	0.116814495968502
Cariboo	0.059499460825092	0.109632795720794
Cheakamus	0.060955004122949	0.0862277463277826
Cowichan	0.0606554392072255	0.0827271510261524
Dean	0.0701388755105979	0.103002856326822
Dudidontu	0.036106071204942	0.0635324250321556
Duteau	0.0866059049447347	0.114125977729124
Ecstall	0.07359365973722	0.0818932586470064
Endako	0.0567434895406794	0.102077695079611
Hoole	0.0360935948588954	0.0602342444643353
Imnaha	0.0729188858428348	0.116536902745183
Kaouk	0.0349644966380875	0.0534168884576315
Kilbella	0.0533264834981936	0.0745646065363652
Kildala	0.0753952213226401	0.0944433327505375
Kincolith	0.070617815502882	0.0866051055343817
Kitlope	0.0775584869339489	0.0957831248615255
Kitsumkalum	0.081335641877722	0.100919696307678
Kitwanga	0.0815827485922771	0.102482475468093
Klinaklini	0.0692704812099574	0.0940450573326138
Klondike	0.0464694509225903	0.0662596651024611
Kwinageese	0.047322284004977	0.0947703424804121
Mayo	0.0496200991269472	0.067453399472845
Morley	0.038053530211559	0.0621312556323549
Moyeha	0.04387445654806	0.0614312968160505
Nimpkish	0.0382053805778005	0.064995770926557
Nordenskiold	0.0499790902369339	0.0690925250793039
Nusatsum	0.0807471361892592	0.10485851911211
Okanagan	0.0651183369806006	0.0930720520069539
Phillips	0.0594034034384218	0.0849624935262068
Pitt	0.0686792975626914	0.0930182265780097
Portage	0.0856283594315246	0.113616311569582
SalmonFork	0.041871091061959	0.0631382782022613
SanJuan	0.0398394133170992	0.0642508167924102
Sarita	0.0426738509301306	0.0637752263016718
Serpentine	0.0624731156457812	0.0859670465874994
Seymour	0.0860337895652911	0.114458492932835
Siuslaw	0.0411611818852947	0.057092855776949
Slim	0.0755690867976414	0.114170942057098
Spius	0.083069232791841	0.11025022733904
Sustut	0.0462308102844581	0.0700675977306429
Swift	0.084538845242475	0.117357414755336
Tahltan	0.0525959164683128	0.0865323015727549
Takhanne	0.0342528520851137	0.0536769376254434
Takhini	0.0449383663884508	0.0679138108377577
Taseko	0.0646958857625229	0.111262423191763
Tincup	0.0270475519936542	0.0526966683902106
Tozitna	0.0515785708927578	0.0745140320066083
Trinity	0.0520964808118362	0.0688217155087137
Verrett	0.0604567684157594	0.0959949967807649
Yakoun	0.0544316305100763	0.0639559885932903
Yeth	0.0406181301828067	0.0811656868099181
