population	indv_het_mean	indv_het_sd	site_het_mean	af_site_het_mean
Abe	0.209408822737109	0.0168037881483028	0.209408822737109	0.188133089815547
Ada	0.270710268228496	0.0213597629376735	0.270710268228496	0.242160768918235
And	0.218887731571053	0.00526124849343258	0.218887731571053	0.199411517473254
BigB	0.247245721694804	0.00480572894141629	0.247245721694804	0.226950778768476
BigS	0.206545459120391	0.00446242465776531	0.20654545912039	0.188237333263767
Bir	0.215943225313713	0.00551494046508106	0.215943225313713	0.199483407228641
Blu	0.287655672288187	0.0538042760006687	0.287655672288187	0.23780892549488
Car	0.249724459679878	0.0360892944173251	0.249724459679878	0.223795569389803
Che	0.242869195314512	0.00778172754577729	0.242869195314512	0.224494185323659
Cow	0.234367897243709	0.00543302777371542	0.234367897243709	0.216627307331954
Dea	0.281783197013697	0.0211009896375569	0.281783197013697	0.242963170386224
Dud	0.257888466559506	0.0163839467344954	0.257888466559505	0.231066711329479
Dut	0.242626587805535	0.00422091713581092	0.242626587805535	0.221100160334686
Ecs	0.231135982167438	0.00417480740065947	0.231135982167438	0.215079990653002
End	0.237645074583566	0.0054358452365614	0.237645074583566	0.219054131735685
Hoo	0.201040410409433	0.00949669833678917	0.201040410409433	0.184386015840312
Imn	0.2078063343487	0.00366886392006055	0.2078063343487	0.190640524675186
Kao	0.238151929048664	0.00627213339056058	0.238151929048664	0.225512137591065
Kil	0.255844959725762	0.00854813815378017	0.255844959725762	0.244172231941719
Kild	0.254983422584952	0.0140151046638486	0.254983422584952	0.239861557307532
Kin	0.258777018120552	0.00828486882105686	0.258777018120552	0.233746497613281
Kitl	0.25681482731366	0.00263764388163403	0.25681482731366	0.237752420746635
Kits	0.257626291780266	0.0161102841721009	0.257626291780266	0.236771733435166
Kitw	0.254189408807936	0.00576753361770705	0.254189408807936	0.235762670251533
Klin	0.262411910280662	0.0104438239116639	0.262411910280662	0.239921039884965
Klo	0.200483083636019	0.00587427266668152	0.200483083636019	0.184121471008765
Kwi	0.24259843580248	0.0090588862251298	0.24259843580248	0.220910824422973
May	0.207113605617375	0.0074300252820507	0.207113605617376	0.190823375783357
Mor	0.206965592983017	0.00308817783002401	0.206965592983017	0.187108443676752
Moy	0.230640347060025	0.0119121293921796	0.230640347060025	0.218609945819975
Nim	0.240691130194873	0.0156217578504851	0.240691130194873	0.217104465837204
Nor	0.252208910952639	0.0332813480827079	0.252208910952639	0.205855816452492
Nus	0.257053053648659	0.0083394441803261	0.257053053648659	0.239041071470861
Oka	0.213112054444967	0.00961345758804726	0.213112054444967	0.198094143066052
Phi	0.245609634438396	0.00615249796634185	0.245609634438396	0.229437954398788
Pit	0.229439742576426	0.00648506891750842	0.229439742576426	0.210350336654737
Por	0.254405329638938	0.00509015280386694	0.254405329638938	0.225932109564872
Sal	0.21229179802788	0.00343862494414694	0.21229179802788	0.195663979127258
San	0.262293381763067	0.0271830368427028	0.262293381763067	0.235525355119313
Sar	0.292424062117942	0.0298240862110719	0.292424062117942	0.236851967383936
SerB	0.236600801044377	0.00788678933465311	0.236600801044377	0.221959881545489
Sey	0.243189687071688	0.0112711462644778	0.243189687071688	0.233846098127936
Siu	0.234602112436318	0.00361652895816514	0.234602112436318	0.218833857483075
Sli	0.241093783765382	0.00673473109361571	0.241093783765382	0.219852268589647
SpiB	0.224825818731887	0.0220410814423514	0.224825818731887	0.205631387670252
Sus	0.239556406134828	0.006617816386564	0.239556406134828	0.22126548582187
Swi	0.226047411407038	0.00408420210066433	0.226047411407038	0.209771081809543
Tah	0.251510024895725	0.00295925699028899	0.251510024895725	0.231906267669008
Tak	0.210461518195193	0.00720249715777599	0.210461518195193	0.193519393540433
Takhi	0.193399835409951	0.0131997050565547	0.193399835409951	0.179840097325708
Tas	0.239028977913555	0.00408001365941241	0.239028977913555	0.221506454090921
Tin	0.196288968026311	0.00294138311622515	0.196288968026311	0.174449605768348
Toz	0.220207336098209	0.00344316873082578	0.220207336098209	0.200422942402364
Tri	0.185129940291703	0.00761069564886729	0.185129940291703	0.171869100526013
Ver	0.252059951037421	0.00348490758410712	0.252059951037421	0.234476791988964
Yak	0.189984887910032	0.00355616094555256	0.189984887910032	0.175014946500833
Yet	0.247709504483303	0.0047359411148418	0.247709504483303	0.229371741871886
