"rightB","GP_bin","NC_056429.1","NC_056430.1","NC_056431.1","NC_056432.1","NC_056433.1","NC_056434.1","NC_056435.1","NC_056436.1","NC_056437.1","NC_056438.1","NC_056439.1","NC_056440.1","NC_056441.1","NC_056442.1","NC_056443.1","NC_056444.1","NC_056445.1","NC_056446.1","NC_056447.1","NC_056448.1","NC_056449.1","NC_056450.1","NC_056451.1","NC_056452.1","NC_056453.1","NC_056454.1","NC_056455.1","NC_056456.1","NC_056457.1","NC_056458.1","NC_056459.1","NC_056460.1","NC_056461.1","NC_056462.1","total"
0.05,"(0,0.05]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,"(0.05,0.1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,"(0.1,0.15]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,"(0.15,0.2]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,"(0.2,0.25]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,"(0.25,0.3]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,"(0.3,0.35]",18588515,14262725,14628339,13868848,16782481,15099627,14790878,17418789,16101482,15332350,10825210,14071259,17735885,11514435,7921567,16699772,4602679,8413162,12201489,9975436,8392758,8602596,4760493,6841627,9310024,10430849,3877556,8662723,7803221,9661843,7728060,3517884,10152010,3119397,373695969
0.4,"(0.35,0.4]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,"(0.4,0.45]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,"(0.45,0.5]",375818,295421,278183,288540,323337,304716,288148,330469,335102,303368,208609,288982,330804,212081,143370,317530,93158,170949,222724,199317,151578,175150,101433,128730,180434,202018,85580,176539,144538,192380,136036,61322,183544,61273,7291181
0.55,"(0.5,0.55]",3788477,2905420,2871006,2890454,3336787,3089909,2950844,3300165,3359285,2985585,2114214,2876255,3379976,2170323,1453286,3175278,1010813,1620850,2365263,1981810,1549289,1689727,949178,1288890,1857466,2048678,819119,1755608,1489113,1968167,1450875,625011,1927770,614663,73659554
0.6,"(0.55,0.6]",3882303,3085152,3062569,3020178,3473841,3269524,3067946,3399530,3450248,3074023,2163248,3024733,3536738,2292265,1560311,3349862,998910,1627296,2444574,1988459,1562742,1778841,991060,1356145,1867125,2178009,800431,1771700,1558556,2063971,1553216,671871,1996837,644826,76567040
0.65,"(0.6,0.65]",4261195,3298807,3277764,3267789,3774843,3453596,3298161,3789152,3751885,3402419,2384647,3266137,3840209,2514773,1649534,3622975,1092212,1788717,2639832,2206922,1759124,1894785,1053448,1472000,2071634,2391356,891027,1947274,1686073,2242295,1655254,704911,2165476,715638,83231864
0.7,"(0.65,0.7]",4827492,3668348,3646470,3681582,4180247,3889147,3754450,4282520,4194869,3824691,2714628,3678289,4261097,2758555,1890523,4061296,1206383,2087109,2993388,2514256,2013156,2129729,1211583,1651962,2339005,2646435,1013194,2231914,1923695,2485164,1858850,817280,2491833,818101,93747241
0.75,"(0.7,0.75]",5619485,4392012,4435798,4243703,4974399,4618102,4454596,4987308,4930835,4504680,3178741,4303761,5099850,3329757,2297369,4819364,1398532,2435459,3598767,2898565,2337856,2554147,1441551,1997922,2722129,3195905,1172532,2552414,2243186,2937313,2289397,992785,2972895,949935,110881050
0.8,"(0.75,0.8]",7136019,5592915,5543407,5383875,6181667,5815176,5655522,6442326,6234043,5782718,4094073,5421359,6561193,4279200,2933205,6153486,1761577,3132531,4520501,3748796,3031576,3232760,1798827,2518292,3469194,4001320,1508498,3282919,2897191,3716164,2815218,1266634,3716793,1224977,140853952
0.85,"(0.8,0.85]",9946854,7681591,7750062,7441909,8749663,8017663,7905967,8966130,8606623,7985252,5641832,7516177,9105105,5934252,4113224,8603712,2432272,4349773,6461518,5240590,4290280,4482244,2546457,3578614,4828184,5588456,2122560,4554916,4028995,5102269,3988414,1848918,5272664,1668499,196351639
0.9,"(0.85,0.9]",16107846,12544432,12609947,12059470,14266289,13050136,12803914,14770608,13995736,13159921,9365680,12197988,15059706,9873740,6791971,14247262,3966027,7221834,10462989,8544323,7077444,7348718,4080133,5833133,7925606,9051529,3385081,7549033,6671717,8312376,6482022,3083307,8628993,2713367,321242278
0.95,"(0.9,0.95]",33836658,26114386,26545467,25127757,30345087,27703987,26969278,31404698,29388203,27629068,19684656,25435619,31733773,20780331,14284704,30310988,8220666,15159707,22338709,18039464,15151852,15466884,8707535,12429582,16772951,18937329,7096307,15611693,13991837,17548410,13726449,6679752,18321823,5646605,677142215
1,"(0.95,1]",82195114,66123988,65472923,62490881,74386017,67475117,66467616,78126435,72927828,68121990,48081264,62623496,77863938,51308059,35188142,74340429,20536245,37421165,55085833,44523642,37481680,37980101,21521033,30552306,41287948,46335323,18829823,38481075,34408793,43009717,33935947,17362847,44942378,14133850,1671022943
