"pop","elevation"
"Abernathy",114
"Adams",448
"Andreafsky",0
"Big",568
"Birkenhead",388
"Blue",730
"Cariboo",913
"Cheakamus",84
"Cowichan",45
"Dean",726
"Dudidontu",603
"Duteau",539
"Ecstall",154
"Endako",712
"Harrison",78
"Hoole",834
"Imnaha",1842
"Kaouk",339
"Kilbella",148
"Kildala",48
"Kincolith",117
"Kitlope",364
"Kitsumkalum",138
"Kitwanga",223
"Klinaklini",248
"Klondike",382
"Kwinageese",401
"Mayo",508
"Morley",729
"Moyeha",252
"Nahatlatch",395
"Nimpkish",21
"Nordenskiold",526
"Nusatsum",120
"Okanagan",309
"Phillips",35
"Pitt",214
"Portage",558
"Qualicum",-2
"Raft",510
"Salmon",404
"San",87
"Sarita",27
"Serpentine",18
"Seymour",396
"Siuslaw",47
"Slim",598
"Spius",660
"Sustut",658
"Swift",765
"Tahltan",391
"Takhanne",758
"Takhini",647
"Taseko",927
"Tincup",732
"Tozitna",75
"Trinity",1319
"Verrett",294
"Yakoun",26
"Yeth",349
