"Sample","Ho","He","Fis"
"Abernathy",0.0337,0.0337,-0.0485
"Adams",0.0269,0.0269,0.7577
"Andreafsky",0.0314,0.0314,0.7542
"Big Qualicum Brood",0.0333,0.0333,0.0307
"Big Salmon",0.0331,0.0331,-0.0042
"Birkenhead",0.0329,0.0329,0.0365
"Blue",0.0342,0.0342,-0.0216
"Cariboo",0.0324,0.0324,0.0242
"Cheakamus",0.0293,0.0293,-0.0194
"Cowichan",0.027,0.027,0.8662
"Dean",0.0294,0.0294,0.0203
"Dudidontu",0.0342,0.0342,0.6745
"Duteau",0.0288,0.0288,-0.0282
"Ecstall",0.032,0.032,0.8719
"Endako",0.0261,0.0261,0.0173
"Harrison",0.0313,0.0313,-0.0178
"Harrison Brood",0.0315,0.0315,NA
"Hoole",0.0332,0.0332,-0.0246
"Imnaha",0.0344,0.0344,0.8167
"Kaouk",0.0316,0.0316,-0.0012
"Kilbella",0.0323,0.0323,0.0209
"Kildala",0.0325,0.0325,0.0243
"Kincolith",0.0346,0.0346,-0.0312
"Kitlope",0.026,0.026,0.0115
"Kitsumkalum",0.0321,0.0321,0.0245
"Kitwanga",0.0356,0.0356,0.7269
"Klinaklini",0.0317,0.0317,-0.0086
"Klondike",0.03,0.03,0.0179
"Kwinageese",0.0306,0.0306,0.063
"Mayo",0.0323,0.0323,0.0105
"Morley",0.0322,0.0322,0.0265
"Moyeha",0.0309,0.0309,0.008
"Nahatlatch",0.0337,0.0337,-0.0278
"Nimpkish",0.0317,0.0317,0.7995
"Nordenskiold",0.0316,0.0316,0.0086
"Nusatsum",0.0322,0.0322,0.8139
"Okanagan",0.0272,0.0272,0.0517
"Phillips",0.0359,0.0359,0.8056
"Portage",0.0325,0.0325,0.845
"Raft",0.0271,0.0271,0.0547
"Salmon Fork",0.0335,0.0335,-0.0018
"San Juan",0.0321,0.0321,-0.0157
"Sarita",0.0306,0.0306,-0.025
"Serpentine Brood",0.0314,0.0314,0.0316
"Seymour",0.0314,0.0314,0.7145
"Siuslaw",0.0269,0.0269,0.8099
"Slim",0.0332,0.0332,-0.0146
"Spius Brood",0.0344,0.0344,0.0307
"Sustut",0.0285,0.0285,-0.036
"Swift",0.0284,0.0284,0.0301
"Tahltan",0.0266,0.0266,0.0386
"Takhanne",0.0299,0.0299,-0.0128
"Takhini",0.0349,0.0349,0.8109
"Taseko",0.0331,0.0331,-0.02
"Tincup",0.0336,0.0336,-0.0116
"Tozitna",0.0321,0.0321,0.012
"Trinity",0.0386,0.0386,0.7668
"Upper Pitt",0.0306,0.0306,0.589
"Verrett",0.027,0.027,0.0528
"Yakoun",0.0289,0.0289,0.0205
"Yeth",0.0323,0.0323,-0.0027
