"file","reads"
"Kitl-2006-EC08",52027443
"Tin-2009-EC01",42791243
"Phi-2010-606",47816570
"BigS-2016-0048",42846610
"Sar-2001-EC03",52577388
"Tin-2009-EC02",51937320
"BigS-2016-0051",52574955
"And-2003-Kand0309-004",54712646
"Tin-2009-EC03",45892589
"And-2003-Kand0309-018",59302480
"Tin-2009-EC05",43011182
"Ecs-2003-EC05",51100594
"Tin-2009-EC06",43928114
"Sal-2015-16",62609975
"Tin-2009-EC08",41937863
"Cow-2016-EC03",60992511
"Kitl-2006-EC01",44298082
"Tin-2009-EC09",40737103
"Abe-1995-95EK13",50717311
"And-2003-Kand0309-013",55911213
"Cow-2016-EC08",53889163
"Kitl-2006-EC09",50723548
"Phi-2010-607",41180525
"Sar-2001-EC04",51963640
"And-2003-Kand0309-019",56827079
"Ecs-2003-EC06",48928501
"Sal-2015-18",47416174
"Dut-2010-EC04",65435892
"Ecs-2003-EC03",49853533
"Kitl-2006-EC02",51363460
"Bir-2005-EC06",50195246
"Cow-2016-EC09",54926856
"Kao-2010-209",49078365
"Kitl-2006-EC10",53608409
"Phi-2010-608",55470460
"Sar-2001-EC05",46342258
"Abe-1995-95EK17",47902961
"Ecs-2003-EC07",43181355
"Sal-2015-15",49806345
"Sal-2015-20",42232086
"End-2006-EC01",47509195
"Kitl-2006-EC03",46702170
"Bir-2005-EC07",45678248
"End-2006-EC05",45726937
"Kil-2000-K1",51412420
"Kil-2000-K18",53224437
"Phi-2010-609",41565908
"Sar-2001-EC07",59962983
"Abe-1995-95EK7",52165024
"Cow-2016-EC02",56007146
"Cow-2016-EC07",48250740
"Ecs-2003-EC08",48855228
"And-2003-Kand0309-008",42188790
"End-2006-EC02",38647422
"Kitl-2006-EC04",44762592
"Bir-2005-EC09",55965241
"End-2006-EC08",53237851
"Kil-2000-K24",62560245
"Ecs-2003-EC04",45805828
"Phi-2010-610",45255240
"Kao-2010-204",47171987
"Sar-2001-EC08",57705893
"Cow-2016-EC01",58382261
"Kil-2000-K5",40593461
"Sal-2015-12",54468363
"Abe-1995-95EK2",56117017
"End-2006-EC04",46523485
"And-2003-Kand0309-010",45001595
"Bir-2005-EC10",43945131
"End-2006-EC10",46053318
"Abe-1995-95EK12",55702355
"Phi-2010-601",46040821
"Sal-2015-17",51860530
"Sar-2001-EC10",52772977
"Cow-2016-EC04",55953090
"Sal-2015-13",48076469
"Bir-2005-EC03",38632304
"And-2003-Kand0309-016",47318156
"Bir-2005-EC11",42573211
"Cow-2016-EC06",43646511
"End-2006-EC12",51074054
"Phi-2010-603",55405768
"Sar-2001-EC01",42346092
"Kao-2010-201",57603495
"Ecs-2003-EC02",59385978
"Sal-2015-14",44316289
"Bir-2005-EC04",54577842
"Kao-2010-203",48255182
"Kao-2010-207",53220313
"Abe-1995-95EK9",60769753
"Bir-2005-EC12",52649855
"Kao-2010-205",49317107
"Phi-2010-604",60582632
"Tas-2002-EC10",38302918
"Tin-2009-EC10",45896070
"Tah-2021-EC01",48709933
"Tak-2011-EC01",43307893
"Tas-2002-EC01",36487065
"Yak-2001-EC03",44244350
"Yet-2010-EC04",55139441
"BigS-2016-0055",42576815
"Dut-2006-EC07",47736819
"Nah-2010-EC06",40965862
"Sey-2010-EC04",52516457
"Kin-1999-EC09",64306634
"Tah-2021-EC02",55853911
"Tak-2011-EC02",61016754
"Tas-2002-EC02",57084810
"Yet-2010-EC05",42345035
"End-2006-EC18",43232539
"Dut-2006-EC09",52052705
"Nah-2010-EC08",36450757
"Sey-2010-EC07",39108244
"Sey-2011-EC02",50937581
"Tah-2021-EC03",50000999
"Tak-2011-EC03",49089316
"Tas-2002-EC03",47232877
"Yak-2001-EC05",43138254
"Yet-2010-EC06",46901244
"Kil-2000-K11",48116083
"Dut-2006-EC10",51375411
"Nah-2010-EC09",36284161
"Sey-2010-EC09",35651671
"BigS-2016-0053",46904583
"Sey-2011-EC07",58858756
"Tah-2021-EC05",47868346
"Tak-2011-EC04",42067376
"Tas-2002-EC06",50675974
"Yak-2001-EC06",48567149
"Yet-2010-EC07",41699368
"Kil-2000-K31",47600023
"Dut-2006-EC11",58870813
"Nah-2010-EC10",43724154
"Sey-2011-EC03",47986798
"BigS-2016-0056",46706161
"Sey-2011-EC09",44365562
"Tah-2021-EC06",52307322
"Tak-2010-EC01",42128689
"Tas-2002-EC07",53410889
"Yak-2001-EC07",49671200
"Yet-2010-EC08",51166087
"Dut-2006-EC03",49365814
"Nah-2010-EC01",46770476
"Kin-1999-EC01",52273668
"Sey-2011-EC06",48041586
"Dut-2006-EC06",51449924
"Kitw-2002-EC01",55346159
"Tah-2021-EC07",50478679
"Tak-2010-EC02",50120004
"Tas-2002-EC08",46290194
"Yet-2010-EC01",57099415
"BigS-2016-0047",59573018
"Dut-2006-EC04",45993516
"Nah-2010-EC02",45012446
"Kin-1999-EC03",54004210
"Kitw-2002-EC02",53849304
"Kin-1999-EC02",46270937
"Kitw-2002-EC03",63798855
"Tah-2021-EC08",48750409
"Tak-2010-EC03",52833529
"Tas-2002-EC09",45399274
"Yet-2010-EC02",49003241
"BigS-2016-0049",59624907
"Yak-2001-EC09",46743356
"Nah-2010-EC04",43971904
"Kin-1999-EC05",51401940
"Kin-1999-EC06",47986335
"Kitw-2002-EC04",68559990
"Tah-2021-EC09",44802953
"Tak-2010-EC05",39280566
"Yak-2001-EC01",47322026
"Yet-2010-EC03",50000875
"BigS-2016-0054",49178309
"Yak-2001-EC10",47589491
"Nah-2010-EC05",39379790
"Kin-1999-EC08",42216755
"Kin-1999-EC07",57688570
"Kitw-2002-EC08",45209376
"Kitw-2002-EC05",40005721
"Kitw-2002-EC06",43971355
"Kitw-2002-EC07",47869330
"Ecs-2003-EC01",38738775
"Abe-1995-95EK3",44954465
"Sar-2001-EC02",57009550
"Kao-2010-202",35993762
"Yak-2001-EC04",55305446
"Abe-1995-95EK13",51405380
"Kao-2010-208",59856282
"Kil-2000-K30",59949968
"Kil-2000-K28",57682050
"Kitl-2006-EC07",43286378
"SpiB-2021-253203",70921276
"SpiB-2021-253204",64756963
"Kwi-1996-CH-KW-96-32",79146846
"Nus-2018-54305",61215255
"Nim-2010-1410",59802260
"Tri-1998-92",29247299
"Tri-1998-83",68412131
"Moy-2010-6596",35534032
"Kits-1995-EC01",75461088
