Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_018296145.1		Primary Assembly	LG01	41122168	43	CM031199.1	Linkage Group		NC_056429.1	assembled-molecule	95801903		
GCF_018296145.1		Primary Assembly	LG02	32659069	43	CM031200.1	Linkage Group		NC_056430.1	assembled-molecule	75537397		
GCF_018296145.1		Primary Assembly	LG03	35453678	43.5	CM031201.1	Linkage Group		NC_056431.1	assembled-molecule	81554755		
GCF_018296145.1		Primary Assembly	LG04	32675520	43	CM031202.1	Linkage Group		NC_056432.1	assembled-molecule	75613410		
GCF_018296145.1		Primary Assembly	LG05	39324131	43.5	CM031203.1	Linkage Group		NC_056433.1	assembled-molecule	90317969		
GCF_018296145.1		Primary Assembly	LG06	34529956	43	CM031204.1	Linkage Group		NC_056434.1	assembled-molecule	80340224		
GCF_018296145.1		Primary Assembly	LG07	33276325	43	CM031205.1	Linkage Group		NC_056435.1	assembled-molecule	77130101		
GCF_018296145.1		Primary Assembly	LG08	39938075	44	CM031206.1	Linkage Group		NC_056436.1	assembled-molecule	91267893		
GCF_018296145.1		Primary Assembly	LG09	37299681	43	CM031207.1	Linkage Group		NC_056437.1	assembled-molecule	86417572		
GCF_018296145.1		Primary Assembly	LG10	36712445	43.5	CM031208.1	Linkage Group		NC_056438.1	assembled-molecule	84826039		
GCF_018296145.1		Primary Assembly	LG11	24644318	43.5	CM031209.1	Linkage Group		NC_056439.1	assembled-molecule	56679371		
GCF_018296145.1		Primary Assembly	LG12	32835487	43.5	CM031210.1	Linkage Group		NC_056440.1	assembled-molecule	75652860		
GCF_018296145.1		Primary Assembly	LG13	42026986	44	CM031211.1	Linkage Group		NC_056441.1	assembled-molecule	95666326		
GCF_018296145.1		Primary Assembly	LG14	27571242	44	CM031212.1	Linkage Group		NC_056442.1	assembled-molecule	62516319		
GCF_018296145.1		Primary Assembly	LG15	17940356	43.5	CM031213.1	Linkage Group		NC_056443.1	assembled-molecule	41069628		
